Throughput,Database
0.8,Redis
0.8,Redis
0.7,Redis
0.7,Redis
0.8,Redis
0.7,Redis
0.8,Redis
0.8,Redis
0.6,Redis
0.6,Redis
0.6,MySQL
0.6,MySQL
0.6,MySQL
0.6,MySQL
0.6,MySQL
0.6,MySQL
0.6,MySQL
0.6,MySQL
0.6,MySQL
0.6,MySQL
