Mysql(oneGif),MySQL(10Gifs), Redis(oneGif),Redis(10Gifs)
1.24,6.58,1.21,6.53
1.34,6.19,1.22,6.21
1.17,6.19,0.976,6.33
1.04,6.21,0.978,6.33
1.05,6.19,0.889,6.33
1.04,6.06,0.890,6.33
1.08,6.18,0.885,6.33
1.03,6.18,1.18,6.33
1.30,6.19,0.886,6.35
1.04,6.06,0.973,6.33
